Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR908435_1	(15.0, 2.0)	(16.0, 4.0)	(17.0, 14.0)	(18.0, 120.0)	(19.0, 517.0)	(20.0, 1732.0)	(21.0, 7497.0)	(22.0, 41402.0)	(23.0, 37532.0)	(24.0, 10135.0)	(25.0, 6011.0)	(26.0, 5796.0)	(27.0, 6204.0)	(28.0, 7258.0)	(29.0, 8349.0)	(30.0, 9561.0)	(31.0, 10445.0)	(32.0, 12022.0)	(33.0, 15704.0)	(34.0, 23827.0)	(35.0, 25746.0)	(36.0, 11317.0)	(37.0, 622.0)	(38.0, 1.0)				
SRR908435_1_paired	(26.0, 1.0)	(27.0, 4.0)	(28.0, 18.0)	(29.0, 71.0)	(30.0, 188.0)	(31.0, 489.0)	(32.0, 1839.0)	(33.0, 2198.0)	(34.0, 3115.0)	(35.0, 7342.0)	(36.0, 28905.0)	(37.0, 47653.0)	(38.0, 35662.0)															
SRR908435_2	(14.0, 157.0)	(15.0, 1079.0)	(16.0, 1826.0)	(17.0, 2824.0)	(18.0, 3180.0)	(19.0, 3176.0)	(20.0, 5682.0)	(21.0, 31186.0)	(22.0, 48021.0)	(23.0, 11990.0)	(24.0, 5329.0)	(25.0, 6041.0)	(26.0, 7574.0)	(27.0, 9296.0)	(28.0, 11701.0)	(29.0, 14143.0)	(30.0, 16906.0)	(31.0, 18311.0)	(32.0, 17419.0)	(33.0, 15736.0)	(34.0, 8817.0)	(35.0, 1387.0)	(36.0, 37.0)					
SRR908435_2_paired	(26.0, 7.0)	(27.0, 29.0)	(28.0, 83.0)	(29.0, 250.0)	(30.0, 628.0)	(31.0, 1211.0)	(32.0, 2451.0)	(33.0, 4644.0)	(34.0, 10603.0)	(35.0, 23537.0)	(36.0, 30920.0)	(37.0, 38840.0)	(38.0, 14282.0)															
SRR908436_1	(16.0, 2.0)	(17.0, 19.0)	(18.0, 108.0)	(19.0, 645.0)	(20.0, 3021.0)	(21.0, 13037.0)	(22.0, 76589.0)	(23.0, 72952.0)	(24.0, 16371.0)	(25.0, 6964.0)	(26.0, 4513.0)	(27.0, 3409.0)	(28.0, 3179.0)	(29.0, 3282.0)	(30.0, 3774.0)	(31.0, 3974.0)	(32.0, 4434.0)	(33.0, 6032.0)	(34.0, 9465.0)	(35.0, 9310.0)	(36.0, 3192.0)	(37.0, 96.0)						
SRR908436_1_paired	(26.0, 1.0)	(27.0, 2.0)	(28.0, 2.0)	(29.0, 19.0)	(30.0, 58.0)	(31.0, 256.0)	(32.0, 1706.0)	(33.0, 1446.0)	(34.0, 1152.0)	(35.0, 2392.0)	(36.0, 13361.0)	(37.0, 17732.0)	(38.0, 8896.0)															
SRR908436_2	(13.0, 2.0)	(14.0, 81.0)	(15.0, 492.0)	(16.0, 968.0)	(17.0, 1584.0)	(18.0, 2241.0)	(19.0, 3081.0)	(20.0, 8230.0)	(21.0, 50506.0)	(22.0, 102205.0)	(23.0, 24300.0)	(24.0, 3596.0)	(25.0, 2421.0)	(26.0, 2857.0)	(27.0, 3510.0)	(28.0, 4866.0)	(29.0, 6298.0)	(30.0, 7361.0)	(31.0, 7216.0)	(32.0, 5837.0)	(33.0, 4201.0)	(34.0, 2200.0)	(35.0, 303.0)	(36.0, 12.0)				
SRR908436_2_paired	(26.0, 4.0)	(27.0, 4.0)	(28.0, 35.0)	(29.0, 96.0)	(30.0, 231.0)	(31.0, 497.0)	(32.0, 886.0)	(33.0, 1964.0)	(34.0, 5447.0)	(35.0, 11812.0)	(36.0, 10939.0)	(37.0, 11281.0)	(38.0, 3827.0)															
SRR908437_1	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 4.0)	(18.0, 32.0)	(19.0, 157.0)	(20.0, 934.0)	(21.0, 4077.0)	(22.0, 23432.0)	(23.0, 20136.0)	(24.0, 4286.0)	(25.0, 1780.0)	(26.0, 1102.0)	(27.0, 702.0)	(28.0, 619.0)	(29.0, 593.0)	(30.0, 776.0)	(31.0, 798.0)	(32.0, 806.0)	(33.0, 1109.0)	(34.0, 1709.0)	(35.0, 1951.0)	(36.0, 835.0)	(37.0, 33.0)				
SRR908437_1_paired	(29.0, 2.0)	(30.0, 15.0)	(31.0, 47.0)	(32.0, 491.0)	(33.0, 407.0)	(34.0, 209.0)	(35.0, 433.0)	(36.0, 2395.0)	(37.0, 2794.0)	(38.0, 2129.0)																		
SRR908437_2	(13.0, 1.0)	(14.0, 28.0)	(15.0, 201.0)	(16.0, 331.0)	(17.0, 454.0)	(18.0, 543.0)	(19.0, 806.0)	(20.0, 2238.0)	(21.0, 14301.0)	(22.0, 29779.0)	(23.0, 7239.0)	(24.0, 904.0)	(25.0, 402.0)	(26.0, 424.0)	(27.0, 497.0)	(28.0, 680.0)	(29.0, 948.0)	(30.0, 1328.0)	(31.0, 1410.0)	(32.0, 1329.0)	(33.0, 1196.0)	(34.0, 708.0)	(35.0, 118.0)	(36.0, 8.0)				
SRR908437_2_paired	(25.0, 1.0)	(26.0, 0.0)	(27.0, 1.0)	(28.0, 9.0)	(29.0, 29.0)	(30.0, 48.0)	(31.0, 120.0)	(32.0, 146.0)	(33.0, 335.0)	(34.0, 851.0)	(35.0, 2170.0)	(36.0, 2228.0)	(37.0, 2154.0)	(38.0, 830.0)														
SRR908438_1	(15.0, 1.0)	(16.0, 2.0)	(17.0, 35.0)	(18.0, 266.0)	(19.0, 1442.0)	(20.0, 6618.0)	(21.0, 31649.0)	(22.0, 180556.0)	(23.0, 159409.0)	(24.0, 40029.0)	(25.0, 17270.0)	(26.0, 11329.0)	(27.0, 8689.0)	(28.0, 8069.0)	(29.0, 8566.0)	(30.0, 8996.0)	(31.0, 8982.0)	(32.0, 9886.0)	(33.0, 12270.0)	(34.0, 17145.0)	(35.0, 14580.0)	(36.0, 5054.0)	(37.0, 197.0)					
SRR908438_1_paired	(27.0, 5.0)	(28.0, 22.0)	(29.0, 69.0)	(30.0, 165.0)	(31.0, 411.0)	(32.0, 1345.0)	(33.0, 1758.0)	(34.0, 2348.0)	(35.0, 4879.0)	(36.0, 15611.0)	(37.0, 37644.0)	(38.0, 29900.0)																
SRR908438_2	(13.0, 2.0)	(14.0, 71.0)	(15.0, 628.0)	(16.0, 1198.0)	(17.0, 1999.0)	(18.0, 3481.0)	(19.0, 6697.0)	(20.0, 19329.0)	(21.0, 119543.0)	(22.0, 229877.0)	(23.0, 63273.0)	(24.0, 9522.0)	(25.0, 5837.0)	(26.0, 6671.0)	(27.0, 7997.0)	(28.0, 9720.0)	(29.0, 10852.0)	(30.0, 12196.0)	(31.0, 13461.0)	(32.0, 12727.0)	(33.0, 10291.0)	(34.0, 4976.0)	(35.0, 677.0)	(36.0, 15.0)				
SRR908438_2_paired	(25.0, 3.0)	(26.0, 6.0)	(27.0, 14.0)	(28.0, 66.0)	(29.0, 191.0)	(30.0, 440.0)	(31.0, 963.0)	(32.0, 1683.0)	(33.0, 3016.0)	(34.0, 6405.0)	(35.0, 12885.0)	(36.0, 19558.0)	(37.0, 36404.0)	(38.0, 12523.0)														
SRR908439_1	(15.0, 4.0)	(16.0, 4.0)	(17.0, 16.0)	(18.0, 142.0)	(19.0, 854.0)	(20.0, 4372.0)	(21.0, 19635.0)	(22.0, 114494.0)	(23.0, 116844.0)	(24.0, 25627.0)	(25.0, 10535.0)	(26.0, 5887.0)	(27.0, 3897.0)	(28.0, 3154.0)	(29.0, 3234.0)	(30.0, 3863.0)	(31.0, 4277.0)	(32.0, 4351.0)	(33.0, 5227.0)	(34.0, 8028.0)	(35.0, 8099.0)	(36.0, 3029.0)	(37.0, 142.0)					
SRR908439_1_paired	(27.0, 1.0)	(28.0, 5.0)	(29.0, 21.0)	(30.0, 85.0)	(31.0, 278.0)	(32.0, 2263.0)	(33.0, 1840.0)	(34.0, 1255.0)	(35.0, 2084.0)	(36.0, 9429.0)	(37.0, 12935.0)	(38.0, 12054.0)																
SRR908439_2	(11.0, 1.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 51.0)	(15.0, 556.0)	(16.0, 931.0)	(17.0, 1477.0)	(18.0, 2169.0)	(19.0, 3787.0)	(20.0, 10758.0)	(21.0, 73831.0)	(22.0, 161681.0)	(23.0, 42366.0)	(24.0, 5360.0)	(25.0, 2456.0)	(26.0, 2361.0)	(27.0, 2823.0)	(28.0, 3638.0)	(29.0, 4661.0)	(30.0, 5866.0)	(31.0, 6521.0)	(32.0, 6388.0)	(33.0, 5039.0)	(34.0, 2587.0)	(35.0, 396.0)	(36.0, 9.0)		
SRR908439_2_paired	(26.0, 1.0)	(27.0, 7.0)	(28.0, 34.0)	(29.0, 103.0)	(30.0, 254.0)	(31.0, 483.0)	(32.0, 913.0)	(33.0, 1750.0)	(34.0, 3941.0)	(35.0, 8498.0)	(36.0, 9721.0)	(37.0, 11622.0)	(38.0, 4923.0)															
SRR908440_1	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 3.0)	(17.0, 12.0)	(18.0, 137.0)	(19.0, 569.0)	(20.0, 1971.0)	(21.0, 8886.0)	(22.0, 46228.0)	(23.0, 30622.0)	(24.0, 7968.0)	(25.0, 5061.0)	(26.0, 4731.0)	(27.0, 5041.0)	(28.0, 5799.0)	(29.0, 6531.0)	(30.0, 7286.0)	(31.0, 8339.0)	(32.0, 9612.0)	(33.0, 12606.0)	(34.0, 16205.0)	(35.0, 12707.0)	(36.0, 4081.0)	(37.0, 158.0)		
SRR908440_1_paired	(27.0, 6.0)	(28.0, 14.0)	(29.0, 33.0)	(30.0, 125.0)	(31.0, 306.0)	(32.0, 748.0)	(33.0, 1231.0)	(34.0, 2068.0)	(35.0, 5359.0)	(36.0, 20824.0)	(37.0, 32518.0)	(38.0, 23942.0)																
SRR908440_2	(13.0, 1.0)	(14.0, 36.0)	(15.0, 315.0)	(16.0, 740.0)	(17.0, 1356.0)	(18.0, 2121.0)	(19.0, 3590.0)	(20.0, 8402.0)	(21.0, 36690.0)	(22.0, 42495.0)	(23.0, 8977.0)	(24.0, 4113.0)	(25.0, 4940.0)	(26.0, 6365.0)	(27.0, 7963.0)	(28.0, 9846.0)	(29.0, 11885.0)	(30.0, 12628.0)	(31.0, 11784.0)	(32.0, 9628.0)	(33.0, 7014.0)	(34.0, 3270.0)	(35.0, 391.0)	(36.0, 4.0)				
SRR908440_2_paired	(25.0, 1.0)	(26.0, 5.0)	(27.0, 17.0)	(28.0, 65.0)	(29.0, 187.0)	(30.0, 454.0)	(31.0, 904.0)	(32.0, 1659.0)	(33.0, 3417.0)	(34.0, 8195.0)	(35.0, 18113.0)	(36.0, 20907.0)	(37.0, 24835.0)	(38.0, 8415.0)														
SRR908441_1	(15.0, 1.0)	(16.0, 4.0)	(17.0, 20.0)	(18.0, 114.0)	(19.0, 755.0)	(20.0, 3575.0)	(21.0, 15762.0)	(22.0, 94411.0)	(23.0, 105746.0)	(24.0, 23747.0)	(25.0, 10337.0)	(26.0, 6768.0)	(27.0, 5564.0)	(28.0, 5198.0)	(29.0, 5791.0)	(30.0, 6835.0)	(31.0, 7745.0)	(32.0, 8471.0)	(33.0, 11387.0)	(34.0, 20123.0)	(35.0, 28699.0)	(36.0, 15385.0)	(37.0, 793.0)	(38.0, 2.0)				
SRR908441_1_paired	(27.0, 7.0)	(28.0, 22.0)	(29.0, 73.0)	(30.0, 195.0)	(31.0, 452.0)	(32.0, 1837.0)	(33.0, 2019.0)	(34.0, 2647.0)	(35.0, 5072.0)	(36.0, 16400.0)	(37.0, 37244.0)	(38.0, 41267.0)																
SRR908441_2	(12.0, 1.0)	(13.0, 1.0)	(14.0, 63.0)	(15.0, 726.0)	(16.0, 1171.0)	(17.0, 1915.0)	(18.0, 2636.0)	(19.0, 3893.0)	(20.0, 10685.0)	(21.0, 67494.0)	(22.0, 138567.0)	(23.0, 34418.0)	(24.0, 5923.0)	(25.0, 4588.0)	(26.0, 5061.0)	(27.0, 6162.0)	(28.0, 7608.0)	(29.0, 9099.0)	(30.0, 11347.0)	(31.0, 14363.0)	(32.0, 18023.0)	(33.0, 20284.0)	(34.0, 11573.0)	(35.0, 1598.0)	(36.0, 34.0)			
SRR908441_2_paired	(25.0, 2.0)	(26.0, 6.0)	(27.0, 25.0)	(28.0, 82.0)	(29.0, 213.0)	(30.0, 532.0)	(31.0, 1166.0)	(32.0, 2252.0)	(33.0, 4110.0)	(34.0, 7691.0)	(35.0, 15258.0)	(36.0, 25758.0)	(37.0, 36721.0)	(38.0, 13419.0)														
