Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR908441_2	SRR908441_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	377233.0	94.6 Mbp	0.0	251.0	49.0	27.280309605168885	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908441_2_paired	SRR908441_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107235.0	15.9 Mbp	0.0	50-251	41.0	69.82142024525575	148.36920781461276	152	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR908442_1	SRR908442_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74668.0	18.7 Mbp	0.0	251.0	44.0	34.477955750790166	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908442_1_paired	SRR908442_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25850.0	3.4 Mbp	0.0	50-251	40.0	65.88394584139266	132.51760154738878	127	pass	pass	pass	fail	fail	pass	warn	warn	fail	fail
SRR908442_2	SRR908442_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74668.0	18.7 Mbp	0.0	251.0	48.0	37.039963572079074	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908442_2_paired	SRR908442_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25850.0	3.3 Mbp	0.0	50-244	40.0	71.678916827853	127.76189555125725	127	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR908443_1	SRR908443_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	364491.0	91.4 Mbp	0.0	251.0	44.0	51.86843927972019	251.0	251	pass	fail	pass	fail	fail	pass	pass	warn	fail	fail
SRR908443_1_paired	SRR908443_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	254454.0	32.2 Mbp	0.0	50-251	39.0	63.05061050093722	126.58006948210678	122	pass	pass	pass	fail	fail	pass	warn	warn	fail	warn
SRR908443_2	SRR908443_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	364491.0	91.4 Mbp	0.0	251.0	48.0	54.45803527603223	251.0	251	pass	fail	warn	fail	fail	pass	pass	warn	fail	fail
SRR908443_2_paired	SRR908443_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	254454.0	31.2 Mbp	0.0	50-251	39.0	65.49215162309106	122.66905216659985	117	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR908444_1	SRR908444_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	467503.0	117.3 Mbp	0.0	251.0	46.0	86.57288217291004	251.0	251	pass	fail	pass	fail	warn	pass	pass	pass	fail	fail
SRR908444_1_paired	SRR908444_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	409315.0	49.3 Mbp	0.0	50-251	44.0	88.8499683631263	120.45964599391667	117	pass	pass	pass	fail	pass	pass	warn	pass	warn	pass
SRR908444_2	SRR908444_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	467503.0	117.3 Mbp	0.0	251.0	51.0	88.0221298396631	251.0	251	pass	fail	pass	fail	warn	pass	pass	pass	fail	fail
SRR908444_2_paired	SRR908444_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	409315.0	48 Mbp	0.0	50-251	44.0	89.92675264279782	117.29199027643746	117	pass	pass	pass	fail	pass	pass	warn	pass	warn	pass
SRR908445_1	SRR908445_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	136365.0	34.2 Mbp	0.0	251.0	44.0	31.115022183111503	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908445_1_paired	SRR908445_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55850.0	6.5 Mbp	0.0	50-251	40.0	43.38764547896151	118.09444941808415	112	pass	pass	pass	fail	fail	pass	warn	fail	fail	warn
SRR908445_2	SRR908445_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	136365.0	34.2 Mbp	0.0	251.0	49.0	32.55967440325597	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908445_2_paired	SRR908445_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55850.0	6.3 Mbp	0.0	50-242	40.0	47.42882721575649	114.40419874664279	107	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR908446_1	SRR908446_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1460063.0	366.4 Mbp	0.0	251.0	42.0	23.04454864491963	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908446_1_paired	SRR908446_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	922518.0	124.2 Mbp	0.0	50-251	38.0	29.907312866257307	134.65895082805972	132	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
SRR908446_2	SRR908446_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1460063.0	366.4 Mbp	0.0	251.0	47.0	27.410099028959472	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908446_2_paired	SRR908446_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	922518.0	118.9 Mbp	0.0	50-251	38.0	33.445462313530186	128.95507729930472	127	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR908447_1	SRR908447_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	571621.0	143.4 Mbp	0.0	251.0	44.0	67.91112030827263	251.0	251	pass	fail	pass	fail	fail	pass	pass	warn	fail	fail
SRR908447_1_paired	SRR908447_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	497249.0	65.1 Mbp	0.0	50-251	41.0	70.21850873101192	130.93704160289914	127	pass	pass	pass	fail	fail	pass	warn	pass	fail	warn
SRR908447_2	SRR908447_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	571621.0	143.4 Mbp	0.0	251.0	49.0	70.79730436754198	251.0	251	pass	fail	pass	fail	fail	pass	pass	pass	fail	fail
SRR908447_2_paired	SRR908447_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	497249.0	62.6 Mbp	0.0	50-251	41.0	72.2650390938652	126.06587243011047	122	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR908448_1	SRR908448_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	390114.0	97.9 Mbp	0.0	251.0	44.0	60.85424906456483	251.0	251	pass	fail	pass	fail	fail	pass	pass	warn	fail	fail
SRR908448_1_paired	SRR908448_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	270866.0	38 Mbp	0.0	50-251	41.0	76.81652920285941	140.6441967614983	137	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR908448_2	SRR908448_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	390114.0	97.9 Mbp	0.0	251.0	48.0	62.95909595304766	251.0	251	pass	fail	warn	fail	fail	pass	pass	warn	fail	fail
SRR908448_2_paired	SRR908448_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	270866.0	36.3 Mbp	0.0	50-251	41.0	78.84686631853711	134.3860912776059	132	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR908449_1	SRR908449_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	900839.0	226.1 Mbp	0.0	251.0	38.0	13.150255466497912	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908449_1_paired	SRR908449_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	413268.0	56.5 Mbp	0.0	50-251	27.0	17.11552793828702	136.95171656165007	137	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
SRR908449_2	SRR908449_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	900839.0	226.1 Mbp	0.0	251.0	42.0	15.43674187338437	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908449_2_paired	SRR908449_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	413268.0	53.6 Mbp	0.0	50-251	28.0	20.207226303512492	129.7735271058974	127	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR908450_1	SRR908450_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	206083.0	51.7 Mbp	0.0	251.0	40.0	33.57336607095199	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908450_1_paired	SRR908450_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99504.0	13.7 Mbp	0.0	50-251	32.0	52.773757838880854	138.6645159993568	137	pass	pass	pass	fail	fail	pass	warn	warn	fail	fail
SRR908450_2	SRR908450_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	206083.0	51.7 Mbp	0.0	251.0	44.0	34.94465822023166	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908450_2_paired	SRR908450_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99504.0	13.1 Mbp	0.0	50-251	33.0	54.70935841775205	131.711056841936	132	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR908451_1	SRR908451_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	566278.0	142.1 Mbp	0.0	251.0	45.0	15.795245444816858	251.0	251	pass	fail	warn	fail	warn	pass	pass	fail	fail	fail
SRR908451_1_paired	SRR908451_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	133605.0	17.3 Mbp	0.0	50-251	44.0	26.032708356723177	129.5463867370233	122	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR908451_2	SRR908451_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	566278.0	142.1 Mbp	0.0	251.0	51.0	16.447222035819863	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908451_2_paired	SRR908451_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	133605.0	16.5 Mbp	0.0	50-251	44.0	31.04225141274653	123.59913925377045	122	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR908452_1	SRR908452_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	348692.0	87.5 Mbp	0.0	251.0	46.0	37.716891293722085	251.0	251	pass	fail	pass	fail	warn	pass	pass	fail	fail	fail
SRR908452_1_paired	SRR908452_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	239003.0	29.9 Mbp	0.0	50-251	43.0	42.483274252101374	125.34096224733581	122	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR908452_2	SRR908452_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	348692.0	87.5 Mbp	0.0	251.0	50.0	41.126370045310615	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908452_2_paired	SRR908452_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	239003.0	29.1 Mbp	0.0	50-251	43.0	44.32471244518339	121.90049915691435	117	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR908453_1	SRR908453_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	223746.0	56.1 Mbp	0.0	251.0	45.0	32.95165053230002	251.0	251	pass	fail	warn	fail	warn	pass	pass	fail	fail	fail
SRR908453_1_paired	SRR908453_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103718.0	13.7 Mbp	0.0	50-251	42.0	48.914363948398545	132.76397539482056	127	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR908453_2	SRR908453_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	223746.0	56.1 Mbp	0.0	251.0	50.0	36.070812439105055	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908453_2_paired	SRR908453_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103718.0	13.3 Mbp	0.0	50-246	42.0	55.78684509921133	128.6751865635666	127	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
