Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR908435_2	(1.0, 31.398820600616993)	(2.0, 11.009106021884227)	(3.0, 4.771356970945091)	(4.0, 2.042858678841112)	(5.0, 1.178572314716026)	(6.0, 0.7468426667989976)	(7.0, 0.5586846305899478)	(8.0, 0.37383486754501316)	(9.0, 0.4317296479170285)	('>10', 5.645154620417007)	('>50', 2.3104152709889254)	('>100', 7.233125739192285)	('>500', 2.4642499731202805)	('>1k', 2.9356788990066907)	('>5k', 0.0)	('>10k+', 26.899569097420372)
SRR908435_2_paired	(1.0, 41.897478134682515)	(2.0, 17.51107973487077)	(3.0, 7.207906812566184)	(4.0, 2.8834764874298937)	(5.0, 1.2707377338510413)	(6.0, 0.7342040240028239)	(7.0, 0.4227948386084638)	(8.0, 0.28866141114640936)	(9.0, 0.2188492763854571)	('>10', 1.9578773973408636)	('>50', 0.22747774247950742)	('>100', 1.2762285759108916)	('>500', 1.2126916892183395)	('>1k', 1.1915127269874888)	('>5k', 0.0)	('>10k+', 21.699023414519356)
SRR908436_1	(1.0, 14.66435867216657)	(2.0, 4.247692005499902)	(3.0, 1.7997446474170102)	(4.0, 1.21292476920055)	(5.0, 0.8920971649315786)	(6.0, 0.7685130622667452)	(7.0, 0.6301970798140509)	(8.0, 0.6383814574739737)	(9.0, 0.43459045374189753)	('>10', 11.043589995416749)	('>50', 4.973646303935049)	('>100', 17.818208603417794)	('>500', 4.119197276239115)	('>1k', 11.760132259542983)	('>5k', 2.605087409153408)	('>10k+', 22.391638839782622)
SRR908436_1_paired	(1.0, 37.747485273164195)	(2.0, 11.15624268974757)	(3.0, 3.285626182931757)	(4.0, 1.429087893158667)	(5.0, 0.7124173276907045)	(6.0, 0.4593496799438572)	(7.0, 0.35727197328966676)	(8.0, 0.18714246219934924)	(9.0, 0.1913956999766072)	('>10', 5.0103141016098505)	('>50', 1.5439253131446313)	('>100', 4.5041788061161565)	('>500', 2.0840865108563893)	('>1k', 3.2409671862705483)	('>5k', 0.0)	('>10k+', 28.090508899900048)
SRR908436_2	(1.0, 15.026926602501145)	(2.0, 3.6346821187716887)	(3.0, 1.5247495580436063)	(4.0, 1.006678452170497)	(5.0, 0.7509166502979113)	(6.0, 0.6531133372618346)	(7.0, 0.5385320500229163)	(8.0, 0.42231388725201335)	(9.0, 0.3867118444313494)	('>10', 9.45336541609376)	('>50', 4.584069927322727)	('>100', 16.38348719963334)	('>500', 7.071302298173247)	('>1k', 9.929286977018267)	('>5k', 2.748314018202056)	('>10k+', 25.88554966280364)
SRR908436_2_paired	(1.0, 39.53809837738979)	(2.0, 10.216277140973567)	(3.0, 2.6986793696701614)	(4.0, 0.9612317376602939)	(5.0, 0.4146906832826489)	(6.0, 0.16587627331305957)	(7.0, 0.08931799332241669)	(8.0, 0.11909065776322225)	(9.0, 0.03827913999532144)	('>10', 1.0590562065372264)	('>50', 0.4040575888395041)	('>100', 3.5110477851264275)	('>500', 1.3206303298385897)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 39.463666716287776)
SRR908437_1	(1.0, 18.21990800479711)	(2.0, 3.986458791917781)	(3.0, 2.2998800722602586)	(4.0, 1.8581209296676937)	(5.0, 1.4042172058354712)	(6.0, 1.247855722374873)	(7.0, 1.1901689614864968)	(8.0, 1.3723376800813687)	(9.0, 0.9563857726230777)	('>10', 16.11434123237138)	('>50', 8.93537564707847)	('>100', 20.354318157667027)	('>500', 2.5503620603282076)	('>1k', 6.8723149089915445)	('>5k', 12.637954852519243)	('>10k+', 0.0)
SRR908437_1_paired	(1.0, 53.328850033624754)	(2.0, 6.747366061421206)	(3.0, 1.7821116341627437)	(4.0, 1.165657924232235)	(5.0, 0.7845774490024657)	(6.0, 0.605245460659045)	(7.0, 0.5492042143017261)	(8.0, 0.9863259358888142)	(9.0, 1.0087424344317417)	('>10', 7.565568258238063)	('>50', 2.779645819323022)	('>100', 5.054920421430173)	('>500', 0.0)	('>1k', 17.641784353284017)	('>5k', 0.0)	('>10k+', 0.0)
SRR908437_2	(1.0, 17.594462070954716)	(2.0, 3.3610128580753873)	(3.0, 1.8171329679838477)	(4.0, 1.6030847236348733)	(5.0, 1.2296388505153857)	(6.0, 1.2023135427261549)	(7.0, 0.86074719536077)	(8.0, 0.8622652680157272)	(9.0, 0.9290604648338469)	('>10', 14.395882986959757)	('>50', 9.692893901902146)	('>100', 20.50157120519788)	('>500', 2.6854705266194037)	('>1k', 9.585110743400179)	('>5k', 13.679352693819927)	('>10k+', 0.0)
SRR908437_2_paired	(1.0, 53.138309796009864)	(2.0, 5.514458641560188)	(3.0, 0.6388702084734365)	(4.0, 0.4034969737726967)	(5.0, 0.05604124635731898)	(6.0, 0.0)	(7.0, 0.15691548980049316)	(8.0, 0.0)	(9.0, 0.0)	('>10', 1.7260703878054249)	('>50', 1.7372786370768885)	('>100', 2.0847343644922667)	('>500', 0.0)	('>1k', 34.543824254651426)	('>5k', 0.0)	('>10k+', 0.0)
