Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR908445_1	(15.0, 2.0)	(16.0, 1.0)	(17.0, 9.0)	(18.0, 102.0)	(19.0, 364.0)	(20.0, 1437.0)	(21.0, 6529.0)	(22.0, 30828.0)	(23.0, 24029.0)	(24.0, 6916.0)	(25.0, 5003.0)	(26.0, 4929.0)	(27.0, 5321.0)	(28.0, 5622.0)	(29.0, 6174.0)	(30.0, 6301.0)	(31.0, 6216.0)	(32.0, 5963.0)	(33.0, 6399.0)	(34.0, 7390.0)	(35.0, 5173.0)	(36.0, 1593.0)	(37.0, 64.0)					
SRR908445_2	(14.0, 18.0)	(15.0, 163.0)	(16.0, 281.0)	(17.0, 431.0)	(18.0, 716.0)	(19.0, 1531.0)	(20.0, 4019.0)	(21.0, 20606.0)	(22.0, 36767.0)	(23.0, 10567.0)	(24.0, 4445.0)	(25.0, 4903.0)	(26.0, 5789.0)	(27.0, 6235.0)	(28.0, 7047.0)	(29.0, 7195.0)	(30.0, 7018.0)	(31.0, 7069.0)	(32.0, 5819.0)	(33.0, 3891.0)	(34.0, 1650.0)	(35.0, 203.0)	(36.0, 2.0)					
SRR908446_1	(14.0, 4.0)	(15.0, 5.0)	(16.0, 14.0)	(17.0, 85.0)	(18.0, 833.0)	(19.0, 3377.0)	(20.0, 9083.0)	(21.0, 38000.0)	(22.0, 207670.0)	(23.0, 145350.0)	(24.0, 46192.0)	(25.0, 35053.0)	(26.0, 38057.0)	(27.0, 46697.0)	(28.0, 58259.0)	(29.0, 70190.0)	(30.0, 82235.0)	(31.0, 91143.0)	(32.0, 101666.0)	(33.0, 120877.0)	(34.0, 160061.0)	(35.0, 145095.0)	(36.0, 57084.0)	(37.0, 3030.0)	(38.0, 3.0)			
SRR908446_2	(10.0, 1.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 12.0)	(14.0, 424.0)	(15.0, 2245.0)	(16.0, 4575.0)	(17.0, 8211.0)	(18.0, 11702.0)	(19.0, 15765.0)	(20.0, 32940.0)	(21.0, 158299.0)	(22.0, 215152.0)	(23.0, 59922.0)	(24.0, 38171.0)	(25.0, 47341.0)	(26.0, 59508.0)	(27.0, 72344.0)	(28.0, 87160.0)	(29.0, 102514.0)	(30.0, 116609.0)	(31.0, 133009.0)	(32.0, 129520.0)	(33.0, 102876.0)	(34.0, 53676.0)	(35.0, 7977.0)	(36.0, 108.0)	(37.0, 1.0)
SRR908447_1	(15.0, 4.0)	(16.0, 1.0)	(17.0, 13.0)	(18.0, 115.0)	(19.0, 405.0)	(20.0, 1058.0)	(21.0, 2990.0)	(22.0, 11834.0)	(23.0, 12653.0)	(24.0, 7706.0)	(25.0, 10153.0)	(26.0, 15797.0)	(27.0, 23275.0)	(28.0, 31575.0)	(29.0, 39290.0)	(30.0, 45832.0)	(31.0, 51237.0)	(32.0, 54967.0)	(33.0, 63759.0)	(34.0, 86351.0)	(35.0, 80748.0)	(36.0, 30297.0)	(37.0, 1557.0)	(38.0, 4.0)				
SRR908447_2	(11.0, 2.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 39.0)	(15.0, 272.0)	(16.0, 725.0)	(17.0, 1320.0)	(18.0, 2187.0)	(19.0, 3128.0)	(20.0, 4753.0)	(21.0, 11390.0)	(22.0, 19592.0)	(23.0, 13112.0)	(24.0, 16104.0)	(25.0, 22969.0)	(26.0, 31275.0)	(27.0, 39408.0)	(28.0, 47695.0)	(29.0, 54405.0)	(30.0, 61752.0)	(31.0, 72148.0)	(32.0, 75039.0)	(33.0, 60264.0)	(34.0, 29885.0)	(35.0, 4108.0)	(36.0, 47.0)	(37.0, 1.0)	
SRR908448_1	(14.0, 1.0)	(15.0, 1.0)	(16.0, 5.0)	(17.0, 24.0)	(18.0, 108.0)	(19.0, 496.0)	(20.0, 1711.0)	(21.0, 8170.0)	(22.0, 43959.0)	(23.0, 30004.0)	(24.0, 9489.0)	(25.0, 7419.0)	(26.0, 9401.0)	(27.0, 12109.0)	(28.0, 15562.0)	(29.0, 18377.0)	(30.0, 21033.0)	(31.0, 23571.0)	(32.0, 26191.0)	(33.0, 32144.0)	(34.0, 46373.0)	(35.0, 53685.0)	(36.0, 28385.0)	(37.0, 1892.0)	(38.0, 4.0)			
SRR908448_2	(11.0, 1.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 25.0)	(15.0, 233.0)	(16.0, 588.0)	(17.0, 1032.0)	(18.0, 1666.0)	(19.0, 2658.0)	(20.0, 5592.0)	(21.0, 32115.0)	(22.0, 48996.0)	(23.0, 13964.0)	(24.0, 8448.0)	(25.0, 11448.0)	(26.0, 15290.0)	(27.0, 18759.0)	(28.0, 22004.0)	(29.0, 25899.0)	(30.0, 30009.0)	(31.0, 37655.0)	(32.0, 42968.0)	(33.0, 41296.0)	(34.0, 25445.0)	(35.0, 3970.0)	(36.0, 52.0)		
SRR908449_1	(13.0, 3.0)	(14.0, 2.0)	(15.0, 3.0)	(16.0, 12.0)	(17.0, 108.0)	(18.0, 790.0)	(19.0, 3487.0)	(20.0, 9101.0)	(21.0, 36754.0)	(22.0, 198746.0)	(23.0, 149154.0)	(24.0, 42674.0)	(25.0, 28042.0)	(26.0, 26771.0)	(27.0, 28151.0)	(28.0, 30186.0)	(29.0, 34544.0)	(30.0, 38090.0)	(31.0, 40069.0)	(32.0, 45965.0)	(33.0, 54520.0)	(34.0, 64273.0)	(35.0, 51938.0)	(36.0, 16768.0)	(37.0, 688.0)			
SRR908449_2	(12.0, 3.0)	(13.0, 8.0)	(14.0, 163.0)	(15.0, 1105.0)	(16.0, 2146.0)	(17.0, 3807.0)	(18.0, 6425.0)	(19.0, 11060.0)	(20.0, 24022.0)	(21.0, 137504.0)	(22.0, 230385.0)	(23.0, 61344.0)	(24.0, 26307.0)	(25.0, 28725.0)	(26.0, 33562.0)	(27.0, 39661.0)	(28.0, 47201.0)	(29.0, 51996.0)	(30.0, 53804.0)	(31.0, 51742.0)	(32.0, 43193.0)	(33.0, 30747.0)	(34.0, 14039.0)	(35.0, 1853.0)	(36.0, 37.0)			
