Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR908441_1	(1.0, 22.164805723943033)	(2.0, 5.180413057078481)	(3.0, 2.1274112369123284)	(4.0, 1.230400847596839)	(5.0, 0.879416834024061)	(6.0, 0.7288520529461283)	(7.0, 0.5901385247616286)	(8.0, 0.5171455808043482)	(9.0, 0.5308822602944637)	('>10', 10.28123123170978)	('>50', 5.739507906958258)	('>100', 17.316296557245597)	('>500', 8.132114258148377)	('>1k', 11.007928511402556)	('>5k', 3.166708642456626)	('>10k+', 10.4067467737175)
SRR908441_2	(1.0, 22.7494750260745)	(2.0, 4.8616434211797)	(3.0, 1.9842160526924866)	(4.0, 1.1555927097991419)	(5.0, 0.8338730933589034)	(6.0, 0.7455806481797252)	(7.0, 0.6199546690821912)	(8.0, 0.6060567841928761)	(9.0, 0.5346598069183557)	('>10', 9.683010662196704)	('>50', 5.717480840445474)	('>100', 16.915905970671215)	('>500', 7.9416874378295805)	('>1k', 9.779205826234511)	('>5k', 4.754984184973694)	('>10k+', 11.116672866170948)
SRR908442_1	(1.0, 25.342851020517493)	(2.0, 11.541758182889591)	(3.0, 5.14678309315905)	(4.0, 2.3035302941018907)	(5.0, 1.3258691809074838)	(6.0, 0.803557079337869)	(7.0, 0.5531151229442332)	(8.0, 0.5892751915144373)	(9.0, 0.48213424760272133)	('>10', 7.138265388118069)	('>50', 4.17046124176354)	('>100', 6.432474420099641)	('>500', 3.1338726094176894)	('>1k', 3.1392296566132747)	('>5k', 0.0)	('>10k+', 27.896823271013016)
SRR908442_2	(1.0, 29.50259816788986)	(2.0, 9.851609792682273)	(3.0, 3.700380350350887)	(4.0, 1.8321101408903413)	(5.0, 0.9843574221888896)	(6.0, 0.6187389510901591)	(7.0, 0.5062409599828575)	(8.0, 0.492848341993893)	(9.0, 0.34954732951197304)	('>10', 6.871752290137676)	('>50', 3.6816306851663363)	('>100', 6.8235388653774045)	('>500', 2.172282637810039)	('>1k', 2.674505812396207)	('>5k', 0.0)	('>10k+', 29.937858252531203)
SRR908443_1	(1.0, 36.00530357940758)	(2.0, 20.534920842303958)	(3.0, 10.467593698794007)	(4.0, 4.715530252802882)	(5.0, 2.041200538122635)	(6.0, 0.8709570483260577)	(7.0, 0.4958564746022411)	(8.0, 0.3266138020524589)	(9.0, 0.2463402375017761)	('>10', 3.7383966894479355)	('>50', 1.5323618365078617)	('>100', 3.5223707506454254)	('>500', 0.529386349258142)	('>1k', 1.0535502994322214)	('>5k', 0.0)	('>10k+', 13.919617600794822)
SRR908443_2	(1.0, 39.923939870006315)	(2.0, 19.31174559607856)	(3.0, 9.227847588813283)	(4.0, 4.016298812947312)	(5.0, 1.6466874416737272)	(6.0, 0.7487616905533762)	(7.0, 0.4623049258357896)	(8.0, 0.24061418281523977)	(9.0, 0.2717771700451321)	('>10', 3.369895656770494)	('>50', 1.4574533769429043)	('>100', 3.8249210556840585)	('>500', 0.8841553706105124)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 14.613597261223285)
SRR908444_1	(1.0, 78.57841647595774)	(2.0, 13.81124489606318)	(3.0, 2.1191535948742484)	(4.0, 0.6099903617222432)	(5.0, 0.33132209700703347)	(6.0, 0.2098605477048298)	(7.0, 0.15916611772116707)	(8.0, 0.1624011126525794)	(9.0, 0.10228789029865615)	('>10', 1.2229484937728976)	('>50', 0.24102975952001487)	('>100', 0.38440827781605214)	('>500', 0.0)	('>1k', 0.6690285257598995)	('>5k', 1.398741849129448)	('>10k+', 0.0)
SRR908444_2	(1.0, 80.93516030633711)	(2.0, 12.321747528265044)	(3.0, 1.8154803371393005)	(4.0, 0.5392947751332536)	(5.0, 0.2674824712163603)	(6.0, 0.16481012852971072)	(7.0, 0.13447563533666154)	(8.0, 0.10785025229271265)	(9.0, 0.08966624248165628)	('>10', 1.0323501915478235)	('>50', 0.24102707927946074)	('>100', 0.08141074220343487)	('>500', 0.0)	('>1k', 0.7690216829138113)	('>5k', 1.5002226273236647)	('>10k+', 0.0)
SRR908445_1	(1.0, 17.834488321783446)	(2.0, 11.332820005133282)	(3.0, 9.47970520294797)	(4.0, 6.705532944670553)	(5.0, 4.847284860484728)	(6.0, 2.921570784292157)	(7.0, 2.1816448502181647)	(8.0, 1.4255857441425586)	(9.0, 1.2077879221207788)	('>10', 10.98889011109889)	('>50', 3.75829575037583)	('>100', 11.652550141165255)	('>500', 2.927437392292744)	('>1k', 5.4559454405455945)	('>5k', 7.280460528728046)	('>10k+', 0.0)
SRR908445_2	(1.0, 20.276463902027647)	(2.0, 10.743225901074323)	(3.0, 8.916510834891652)	(4.0, 5.978073552597808)	(5.0, 4.198291350419829)	(6.0, 2.6927730722692775)	(7.0, 1.8941810581894183)	(8.0, 1.1557217761155723)	(9.0, 0.9503904960950391)	('>10', 9.881567850988157)	('>50', 3.86829465038683)	('>100', 12.523741429252375)	('>500', 3.090969090309097)	('>1k', 5.742675906574267)	('>5k', 0.0)	('>10k+', 8.087119128808713)
